Symbol,Date,Close,Volume
IOO,20151201,104,53044
IOZ,20151201,22.15,106008
IPD,20151201,0.985,317633
IPE,20151201,0.255,250000
IPH,20151201,8.3,533464
IPL,20151201,3.91,8713722
IPP,20151201,3.84,930455
IPT,20151201,0.032,769467
IQ3,20151201,0.295,3000
IQE,20151201,0.36,2374259
IRE,20151201,9.79,793431
IRI,20151201,2.13,347749
IRL,20151201,0.004,200000
IRM,20151201,0.011,50000
IRU,20151201,164.99,739
ISD,20151201,4.58,640479
ISN,20151201,0.039,90004
ISO,20151201,3.86,14592
ISU,20151201,1.325,123696
ISX,20151201,0.36,726409
ITD,20151201,0.24,17000
ITW,20151201,18.89,2138
IVC,20151201,12.1,508313
IVE,20151201,84.31,14064
IVO,20151201,0.056,6380940
IVV,20151201,290.65,23028
IVX,20151201,0.007,2039329
IWG,20151201,0.16,147000
IXI,20151201,129.86,2288
IXJ,20151201,143.73,10356
IXP,20151201,82.8,595
IXR,20151201,0.007,878461
IZZ,20151201,51.82,55403
JBH,20151201,18.95,1416244
JCS,20151201,0.018,30000
JHC,20151201,3.4,796389
JHX,20151201,16.61,2200978
JIN,20151201,1.035,8000
JKA,20151201,0.007,200000
JKL,20151201,0.18,113200
JPR,20151201,0.25,26065
JYC,20151201,1.05,60000
KAM,20151201,0.745,5000
KAR,20151201,1.805,1012723
KAS,20151201,0.022,123941
KBC,20151201,0.185,83000
KBL,20151201,0.022,326667
KCN,20151201,0.61,245228
KDL,20151201,0.057,13785
KDR,20151201,0.105,5789
KEY,20151201,0.004,185185
KGL,20151201,0.1,5744
KII,20151201,2.5,84250
KIN,20151201,0.1,35000
KKL,20151201,0.011,3557865
KKT,20151201,0.28,7366
KMD,20151201,1.46,70498
KME,20151201,0.39,38000
KNL,20151201,0.18,355952
KNM,20151201,0.015,2510921
KNO,20151201,0.315,106555
KOR,20151201,0.045,25000
KPC,20151201,0.11,111065
KRC,20151201,0.018,200000
KRL,20151201,0.005,61250
KRM,20151201,0.185,332818
KRS,20151201,0.14,2100
KSC,20151201,1.18,2492
KSL,20151201,1.07,210225
KTE,20151201,0.032,270000
LAA,20151201,0.305,62573
LAM,20151201,0.25,5000
LAU,20151201,0.515,47000
LBT,20151201,0.14,110000
LCK,20151201,0.23,3826
LCR,20151201,0.003,500000
LCT,20151201,0.051,25000
LEG,20151201,0.009,648219
LEP,20151201,3.84,103042
LER,20151201,0.16,162171
LFC,20151201,0.041,4667
LGD,20151201,0.215,468471
LGO,20151201,0.009,1865800
LGR,20151201,0.081,50000
LHB,20151201,0.15,43000
LHC,20151201,3.12,57718
LIC,20151201,2.6,1865
LIT,20151201,0.097,613650
LKO,20151201,0.002,78358
LLC,20151201,13.1,2526002
LMB,20151201,0.058,468794
LMG,20151201,0.008,2250000
LMW,20151201,0.53,4000
LNG,20151201,1.205,2234518
LNK,20151201,7.29,658697
LNR,20151201,6.55,2050
LOM,20151201,0.27,247070
LOV,20151201,3.5,108505
LRR,20151201,0.001,1000000
LRS,20151201,0.008,584883
LSR,20151201,0.03,306341
LTN,20151201,0.085,75000
LTR,20151201,0.009,510000
LTX,20151201,0.024,520000
LVT,20151201,0.32,566391
LWP,20151201,0.006,11451615
LYC,20151201,0.11,17800332
LYL,20151201,1.25,6214
MAD,20151201,0.079,39614
MAH,20151201,0.098,985109
MAI,20151201,0.55,14238
MAQ,20151201,8.91,1739
MAT,20151201,0.18,12333
MBE,20151201,0.375,11343684
MCE,20151201,0.59,5597
MCH,20151201,0.25,1930
MCP,20151201,0.7,117297
MCR,20151201,0.245,47802
MCS,20151201,0.068,140928
MCT,20151201,0.02,1661500
MDC,20151201,0.22,73892
MDG,20151201,0.071,922
MDI,20151201,0.008,150000
MDR,20151201,0.052,36360215
MEB,20151201,0.335,115132
MED,20151201,0.04,63294
MEI,20151201,0.023,1300000
MEL,20151201,0.056,178278
MEO,20151201,0.014,75810
MEP,20151201,0.07,40312
MEU,20151201,0.028,1230301
MEZ,20151201,2.17,1122
MFF,20151201,2.14,428558
MFG,20151201,26.39,542201
MGC,20151201,2.32,450655
MGE,20151201,2.68,1050990
MGL,20151201,0.022,320
MGP,20151201,0.36,80000
MGR,20151201,1.895,20381492
MGV,20151201,0.016,74500
MGX,20151201,0.185,3941219
MGY,20151201,0.035,125000
MHG,20151201,2.48,60137
MIG,20151201,0.93,76354
MIL,20151201,1.99,144704
MIN,20151201,4.96,1133295
MIR,20151201,2.49,45413
MJP,20151201,0.89,204148
MKB,20151201,0.039,797548
MKO,20151201,0.029,200000
MLB,20151201,1.915,6296
MLD,20151201,0.805,139189
MLM,20151201,0.085,35000
MLS,20151201,0.001,50000
MLT,20151201,4.38,152743
MLX,20151201,1.075,377321
MMJ,20151201,0.28,546751
MML,20151201,0.365,750833
MMS,20151201,13.49,398797
MNB,20151201,0.002,9748139
MNC,20151201,0.004,9568417
MND,20151201,6.33,278457
MNF,20151201,3,99280
MNQ,20151201,0.02,26685
MNS,20151201,0.4,828874
MNW,20151201,0.065,409419
MNY,20151201,0.955,90880
MOC,20151201,1.81,381164
MOD,20151201,0.005,4977473
MOQ,20151201,0.038,15000
MOX,20151201,0.011,125390
MOY,20151201,0.042,209595
MOZ,20151201,0.048,5151559
MPJ,20151201,0.006,17270259
MPL,20151201,2.38,21427305
MPO,20151201,0.14,108040
MPP,20151201,1.43,74046
MQA,20151201,4.21,3867352
MQG,20151201,82.69,974832
MRD,20151201,0.01,1384945
MRF,20151201,0.06,339000
MRM,20151201,0.23,755978
MRP,20151201,0.105,273648
MRQ,20151201,0.06,442967
MSB,20151201,1.735,1265154
MSR,20151201,0.005,300000
MSV,20151201,0.019,289956
MTA,20151201,0.07,15000
MTH,20151201,0.006,657926
MTL,20151201,0.07,165000
MTR,20151201,4.67,2143544
MTS,20151201,1.68,35533262
MTU,20151201,11.45,633676
MUA,20151201,1,20009
MUM,20151201,0.003,844683
MUS,20151201,0.19,775754
MVA,20151201,18.79,4991
MVB,20151201,26.04,500
MVF,20151201,1.47,1284375
MVP,20151201,3.85,25860
MVS,20151201,16.18,4119
MVT,20151201,0.14,15856
MVW,20151201,21.78,10989
MWR,20151201,1.25,5000
MXI,20151201,0.625,97234
MYE,20151201,0.245,14166
MYN,20151201,0.009,100000
MYO,20151201,3.49,1747329
MYQ,20151201,0.145,70000
MYR,20151201,1.12,6577433
MYS,20151201,4.7,61284
MYT,20151201,2.62,3058
MYX,20151201,1.36,3293337
MZI,20151201,0.385,265259
MZM,20151201,0.255,46000
MZN,20151201,0.007,460410
NAB,20151201,29.91,6099299
NAE,20151201,0.003,2166474
NAG,20151201,0.076,452126
NAM,20151201,0.28,18116
NAN,20151201,1.55,236534
NCC,20151201,0.96,5300
NCK,20151201,4.17,14733
