Symbol,Date,Close,Volume
MGP,20151203,0.36,10000
MGR,20151203,1.87,9814783
MGX,20151203,0.19,915841
MHG,20151203,2.49,30400
MHM,20151203,0.026,20000
MIG,20151203,1.01,75484
MIL,20151203,1.92,177398
MIN,20151203,4.76,2498847
MIR,20151203,2.5,54450
MJP,20151203,0.88,107433
MKB,20151203,0.038,452942
MLB,20151203,1.91,13105
MLD,20151203,0.82,352486
MLM,20151203,0.09,160490
MLT,20151203,4.34,197465
MLX,20151203,0.98,1367200
MMI,20151203,0.06,432321
MMJ,20151203,0.28,487430
MML,20151203,0.365,348299
MMS,20151203,13.43,241267
MNB,20151203,0.003,118516
MNC,20151203,0.004,300000
MND,20151203,6.18,386156
MNF,20151203,3.14,82956
MNQ,20151203,0.018,97057
MNS,20151203,0.395,24296
MNW,20151203,0.067,77691
MNY,20151203,0.945,142310
MOC,20151203,1.805,24383
MOT,20151203,0.001,1500000
MOX,20151203,0.01,3639000
MOY,20151203,0.041,246449
MOZ,20151203,0.041,1101449
MPJ,20151203,0.006,334333
MPL,20151203,2.34,10862430
MPO,20151203,0.145,140488
MQA,20151203,4.26,1179078
MQG,20151203,82.93,654476
MRD,20151203,0.009,500000
MRF,20151203,0.063,423759
MRM,20151203,0.24,1133341
MRQ,20151203,0.061,50000
MRV,20151203,0.004,1219000
MSB,20151203,1.7,913907
MSP,20151203,0.032,4288
MSR,20151203,0.005,3746430
MSV,20151203,0.023,26089
MTL,20151203,0.07,495932
MTR,20151203,4.75,705606
MTS,20151203,1.585,9068350
MTU,20151203,11.57,502524
MUA,20151203,1.03,267071
MUS,20151203,0.175,34647
MVA,20151203,18.56,1227
MVB,20151203,26.47,424
MVF,20151203,1.495,317443
MVP,20151203,3.62,81872
MVR,20151203,15.11,300
MVS,20151203,15.97,2101
MVT,20151203,0.14,95540
MVW,20151203,21.6,10927
MWR,20151203,1.27,15293
MXI,20151203,0.59,130200
MXR,20151203,0.002,200000
MYE,20151203,0.245,34
MYO,20151203,3.4,1129453
MYQ,20151203,0.13,35000
MYR,20151203,1.155,8016439
MYS,20151203,4.71,72545
MYX,20151203,1.38,1968372
MZI,20151203,0.385,121685
