Date,Close,Volume,SMA
16/12/2014,3.41,1073823,3.463333333333334
17/12/2014,3.4,1857457,3.4666666666666677
18/12/2014,3.37,2663008,3.468666666666667
19/12/2014,3.47,3131607,3.471000000000001
22/12/2014,3.55,2018865,3.4743333333333344
23/12/2014,3.53,1603419,3.476000000000001
24/12/2014,3.52,651322,3.4786666666666672
29/12/2014,3.61,929510,3.482666666666667
30/12/2014,3.58,604451,3.4853333333333336
31/12/2014,3.57,397870,3.4886666666666666
2/01/2015,3.63,289654,3.4926666666666657
5/01/2015,3.65,1081763,3.4979999999999998
6/01/2015,3.6,960174,3.5043333333333333
7/01/2015,3.6,1033274,3.5116666666666654
8/01/2015,3.63,821674,3.517666666666665
9/01/2015,3.67,895369,3.5256666666666656
12/01/2015,3.66,895728,3.5313333333333317
13/01/2015,3.71,1546697,3.538333333333332
14/01/2015,3.64,1370751,3.5453333333333323
15/01/2015,3.61,1328427,3.5516666666666654
16/01/2015,3.57,1468845,3.554666666666665
19/01/2015,3.58,1292147,3.5573333333333323
20/01/2015,3.59,1369200,3.559666666666666
21/01/2015,3.67,1006611,3.5629999999999993
22/01/2015,3.53,1858311,3.5609999999999995
23/01/2015,3.56,1223632,3.5616666666666665
27/01/2015,3.6,882443,3.5636666666666668
28/01/2015,3.59,701251,3.566666666666667
29/01/2015,3.62,1026415,3.5713333333333335
30/01/2015,3.58,1188490,3.5766666666666667
2/02/2015,3.65,1112574,3.5846666666666667
3/02/2015,3.74,1637605,3.596000000000001
4/02/2015,3.82,2005590,3.611
5/02/2015,3.85,1637751,3.6236666666666664
6/02/2015,3.87,1479222,3.634333333333333
9/02/2015,3.89,1167100,3.646333333333333
10/02/2015,3.88,837046,3.658333333333333
11/02/2015,3.86,879698,3.6666666666666665
12/02/2015,3.84,1137287,3.675333333333333
13/02/2015,3.92,982823,3.687
16/02/2015,3.9,1092690,3.696
17/02/2015,3.87,1163976,3.7033333333333336
18/02/2015,3.92,980386,3.714
19/02/2015,3.83,1560814,3.7216666666666662
20/02/2015,3.8,2252552,3.7273333333333336
23/02/2015,3.85,1002925,3.7333333333333334
24/02/2015,3.84,811566,3.7393333333333336
25/02/2015,3.89,1083040,3.7453333333333334
26/02/2015,4.18,4371403,3.7633333333333336
27/02/2015,4.28,2929004,3.785666666666667
2/03/2015,4.22,6062555,3.8073333333333332
3/03/2015,4.29,2012783,3.831000000000001
4/03/2015,4.3,2007227,3.854666666666667
5/03/2015,4.45,2502069,3.880666666666667
6/03/2015,4.5,2640651,3.913
9/03/2015,4.43,1689709,3.9419999999999997
10/03/2015,4.5,1814850,3.972
11/03/2015,4.52,1491471,4.002999999999999
12/03/2015,4.54,1867532,4.033666666666666
13/03/2015,4.41,3491414,4.061333333333334
16/03/2015,4.37,2148494,4.085333333333334
17/03/2015,4.36,3363222,4.106
18/03/2015,4.35,1825189,4.123666666666667
19/03/2015,4.43,1686533,4.143
20/03/2015,4.45,2249414,4.162333333333333
23/03/2015,4.49,2054017,4.182333333333332
24/03/2015,4.58,2471779,4.205666666666666
25/03/2015,4.52,1781001,4.227666666666666
26/03/2015,4.46,2003425,4.248333333333332
27/03/2015,4.57,1829170,4.27
30/03/2015,4.46,3385850,4.288666666666667
31/03/2015,4.53,1096053,4.310666666666665
1/04/2015,4.48,1239856,4.3293333333333335
2/04/2015,4.56,967345,4.353666666666666
7/04/2015,4.61,1279499,4.380666666666667
8/04/2015,4.69,769808,4.408666666666667
9/04/2015,4.62,2283224,4.434666666666668
10/04/2015,4.63,1111268,4.4593333333333325
13/04/2015,4.57,820822,4.472333333333333
14/04/2015,4.53,1485401,4.480666666666666
15/04/2015,4.52,1542642,4.490666666666667
16/04/2015,4.58,1195440,4.500333333333334
17/04/2015,4.55,1456017,4.5086666666666675
20/04/2015,4.48,1027672,4.509666666666666
21/04/2015,4.55,1694876,4.511333333333334
22/04/2015,4.54,802364,4.515
23/04/2015,4.51,1091995,4.5153333333333325
24/04/2015,4.66,1372126,4.52
27/04/2015,4.67,1297538,4.524333333333333
28/04/2015,4.64,734604,4.531999999999999
29/04/2015,4.54,1551659,4.537666666666666
30/04/2015,4.52,1133773,4.543000000000001
1/05/2015,4.55,707536,4.549666666666668
4/05/2015,4.6,1018404,4.5553333333333335
5/05/2015,4.6,1121755,4.560333333333333
6/05/2015,4.47,1496123,4.559666666666667
7/05/2015,4.48,933026,4.556333333333333
8/05/2015,4.48,854650,4.554999999999999
11/05/2015,4.52,1472029,4.557
12/05/2015,4.56,1829740,4.5566666666666675
13/05/2015,4.52,1408902,4.558666666666667
14/05/2015,4.53,1572232,4.558666666666666
15/05/2015,4.52,1636490,4.56
18/05/2015,4.5,942395,4.557999999999999
19/05/2015,4.45,1875382,4.552666666666666
20/05/2015,4.32,3672370,4.540333333333333
21/05/2015,4.48,2060028,4.535666666666666
22/05/2015,4.46,846321,4.53
25/05/2015,4.55,1217623,4.529333333333333
26/05/2015,4.58,2263573,4.5310000000000015
27/05/2015,4.8,2428877,4.540333333333334
28/05/2015,4.65,1274299,4.542666666666666
29/05/2015,4.65,1829942,4.546
,,,
