Date,Symbol,Open,High,Low,Close,Volume,extra,Moving Avg 30,Moving Avg 90
2014-10-23,ABC,3.33,3.36,3.31,3.34,1229136,,3.27433333333,3.471
2014-10-24,ABC,3.38,3.39,3.35,3.36,1357715,,3.269,3.47077777778
2014-10-27,ABC,3.36,3.39,3.3,3.33,1026870,,3.26466666667,3.47
2014-10-28,ABC,3.33,3.35,3.29,3.31,1516703,,3.26433333333,3.46866666667
2014-10-29,ABC,3.36,3.36,3.3,3.32,1421421,,3.26366666667,3.46744444444
2014-10-30,ABC,3.33,3.34,3.305,3.31,891269,,3.264,3.46544444444
2014-10-31,ABC,3.33,3.36,3.3,3.36,1282672,,3.26666666667,3.46388888889
2014-11-03,ABC,3.34,3.35,3.27,3.29,868818,,3.26766666667,3.46211111111
2014-11-04,ABC,3.28,3.34,3.27,3.33,860489,,3.27033333333,3.45955555556
2014-11-05,ABC,3.3,3.32,3.28,3.3,647082,,3.27033333333,3.45644444444
2014-11-06,ABC,3.32,3.34,3.29,3.31,684614,,3.27066666667,3.453
2014-11-07,ABC,3.34,3.4,3.34,3.4,1888023,,3.27433333333,3.44944444444
2014-11-10,ABC,3.41,3.49,3.41,3.45,1551595,,3.281,3.44677777778
2014-11-11,ABC,3.45,3.48,3.45,3.48,1454392,,3.29,3.44444444444
2014-11-12,ABC,3.48,3.48,3.425,3.44,1392700,,3.296,3.44222222222
2014-11-13,ABC,3.44,3.5,3.42,3.49,1686210,,3.30433333333,3.44077777778
2014-11-14,ABC,3.49,3.51,3.455,3.5,1234414,,3.313,3.43944444444
2014-11-17,ABC,3.5,3.5,3.45,3.47,862141,,3.321,3.438
2014-11-18,ABC,3.5,3.52,3.46,3.51,1515375,,3.331,3.43722222222
2014-11-19,ABC,3.5,3.51,3.47,3.49,1047605,,3.34033333333,3.43622222222
2014-11-20,ABC,3.42,3.5,3.41,3.41,4047762,,3.34466666667,3.43355555556
2014-11-21,ABC,3.42,3.43,3.38,3.38,1016745,,3.351,3.43077777778
2014-11-24,ABC,3.41,3.49,3.41,3.45,1593874,,3.36,3.42911111111
2014-11-25,ABC,3.45,3.46,3.39,3.43,1763746,,3.368,3.427
2014-11-26,ABC,3.44,3.49,3.43,3.49,1141257,,3.37733333333,3.426
2014-11-27,ABC,3.49,3.505,3.48,3.5,933039,,3.38566666667,3.425
2014-11-28,ABC,3.5,3.5,3.42,3.43,1182066,,3.39266666667,3.423
2014-12-01,ABC,3.43,3.46,3.42,3.42,1390225,,3.398,3.42088888889
2014-12-02,ABC,3.43,3.48,3.42,3.48,1088736,,3.40466666667,3.41966666667
2014-12-03,ABC,3.44,3.5,3.41,3.5,1423464,,3.40933333333,3.41777777778
2014-12-04,ABC,3.5,3.57,3.49,3.52,3412273,,3.41533333333,3.41622222222
2014-12-05,ABC,3.54,3.61,3.51,3.57,1959280,,3.42233333333,3.41566666667
2014-12-08,ABC,3.58,3.605,3.55,3.59,1852962,,3.431,3.415
2014-12-09,ABC,3.55,3.58,3.51,3.54,2581973,,3.43866666667,3.41422222222
2014-12-10,ABC,3.55,3.56,3.5,3.54,1630101,,3.446,3.41377777778
2014-12-11,ABC,3.5,3.52,3.46,3.5,1959151,,3.45233333333,3.41455555556
2014-12-12,ABC,3.51,3.54,3.48,3.48,1140407,,3.45633333333,3.41477777778
2014-12-15,ABC,3.47,3.47,3.42,3.42,1121664,,3.46066666667,3.41433333333
2014-12-16,ABC,3.42,3.455,3.41,3.41,1073823,,3.46333333333,3.41366666667
2014-12-17,ABC,3.41,3.425,3.37,3.4,1857457,,3.46666666667,3.41311111111
2014-12-18,ABC,3.39,3.44,3.36,3.37,2663008,,3.46866666667,3.41211111111
2014-12-19,ABC,3.4,3.54,3.4,3.47,3131607,,3.471,3.41233333333
2014-12-22,ABC,3.54,3.58,3.51,3.55,2018865,,3.47433333333,3.41255555556
2014-12-23,ABC,3.55,3.565,3.53,3.53,1603419,,3.476,3.41211111111
2014-12-24,ABC,3.55,3.56,3.51,3.52,651322,,3.47866666667,3.41055555556
2014-12-29,ABC,3.51,3.645,3.5,3.61,929510,,3.48266666667,3.41033333333
2014-12-30,ABC,3.62,3.62,3.57,3.58,604451,,3.48533333333,3.40955555556
2014-12-31,ABC,3.6,3.62,3.55,3.57,397870,,3.48866666667,3.40933333333
2015-01-02,ABC,3.61,3.63,3.56,3.63,289654,,3.49266666667,3.40977777778
2015-01-05,ABC,3.63,3.65,3.6,3.65,1081763,,3.498,3.41011111111
2015-01-06,ABC,3.6,3.65,3.575,3.6,960174,,3.50433333333,3.40966666667
2015-01-07,ABC,3.58,3.64,3.58,3.6,1033274,,3.51166666667,3.41022222222
