Symbol, Date, Open, High, Low, Close, Volume
PNA,20140102,1.81,1.855,1.78,1.85,2628665
PNL,20140102,0.215,0.215,0.21,0.215,82200
PNO,20140102,0.001,0.001,0.001,0.001,500000
PNR,20140102,0.065,0.065,0.065,0.065,20000
POH,20140102,0.11,0.11,0.11,0.11,23081
POK,20140102,0.065,0.065,0.065,0.065,5000
POS,20140102,0.077,0.077,0.076,0.077,306448
POU,20140102,18.59,18.59,18.59,18.59,14275
PPC,20140102,1.325,1.35,1.325,1.35,6457
PPG,20140102,0.43,0.43,0.43,0.43,30000
PPK,20140102,0.75,0.75,0.75,0.75,50000
PPT,20140102,48.28,48.6,48.07,48.13,66322
PPX,20140102,0.049,0.049,0.048,0.048,18100
PRA,20140102,0.03,0.03,0.03,0.03,100000
PRG,20140102,3.5,3.53,3.4,3.47,238403
PRL,20140102,0.21,0.215,0.205,0.21,664502
PRO,20140102,0.535,0.535,0.535,0.535,33137
PRR,20140102,0.04,0.04,0.039,0.04,460743
PRT,20140102,1.035,1.04,1.03,1.03,9684
PRU,20140102,0.245,0.3,0.245,0.29,9707238
PRW,20140102,0.001,0.001,0.001,0.001,4285000
PRY,20140102,4.95,4.99,4.92,4.94,821124
PSA,20140102,0.093,0.093,0.091,0.091,15789
PSH,20140102,0.04,0.04,0.037,0.037,5000
PSY,20140102,0.14,0.16,0.125,0.135,33321182
PSZ,20140102,0.945,0.945,0.93,0.94,26061
PTL,20140102,0.027,0.027,0.027,0.027,130370
PTM,20140102,6.93,6.93,6.86,6.88,209256
PVA,20140102,4.4,4.4,4.4,4.4,250
PVD,20140102,0.61,0.61,0.595,0.6,95045
PVE,20140102,0.12,0.12,0.12,0.12,5666
PWN,20140102,0.087,0.087,0.086,0.086,11000
PXR,20140102,0.002,0.002,0.002,0.002,1001000
PXS,20140102,0.105,0.105,0.105,0.105,53002
PYC,20140102,0.018,0.018,0.017,0.017,650000
PZC,20140102,0.02,0.02,0.02,0.02,24500
QAN,20140102,1.095,1.107,1.09,1.1,3510953
QAU,20140102,12.5,12.55,12.47,12.55,4707
QBE,20140102,11.61,11.76,11.56,11.7,1764576
QBL,20140102,0.008,0.008,0.008,0.008,1704999
QFN,20140102,10.86,10.86,10.84,10.84,24570
QFX,20140102,0.013,0.013,0.012,0.013,1061605
